南方地区,气候特征,"""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上"
非洲,气候特征,http://edukb.org/knowledge/0.1/property/geo#qihou
南方地区,气候特征,http://edukb.org/knowledge/0.1/property/geo#qihou
北方地区,气候特征,http://edukb.org/knowledge/0.1/property/geo#qihou
西部大西洋沿岸,气候特征,http://edukb.org/knowledge/0.1/property/geo#qihou
青藏高原,气候特征,http://edukb.org/knowledge/0.1/property/geo#qihou
南方地区,气候特征,"""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上降水：受季风影响，南方地区降水丰富，年平均降水量在800毫米以上"""
北方地区,气候特征,"""最冷月（1月）平均气温：0℃以下最热月（7月）平均气温：20℃以上温度带：大部分地区属于中温带和暖温带年降水量：大部分地区为400~800毫米干湿地区：大部分地区属于半湿润地区降水季节分配：不均，主要集中在夏季气候特点：冬季寒冷干燥，夏季高温多雨"""
非洲,气候特征,"""气候炎热"
热带雨林气候,气候特征,全年高温多雨
东北地区,气候特征,"""东北三省气候冷湿。大部分地区冬季漫长严寒，夏季短促温暖。大兴安岭北部地区长冬无夏，只有南部的辽东半岛冬季较短。东北三省降水集中在夏季，冬季降雪较多形成原因：东北三省纬度较高，太阳斜射较厉害，获得的太阳光热较少；同时，东北三省又紧邻冬季风源地蒙古和西伯利亚地区，冬季风进一步加剧了东北三省的严寒""地中海气候"
西部大西洋沿岸,气候特征,"""""""受北大西洋暖流和西风的影响，冬暖夏凉，降水季节分配比较均匀。空气湿润，云量较大，阴雨天较多，日照较少"""
南方地区,气候特征,"""""""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上"""
南方地区,气候特征,"""""""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上降水：受季风影响，南方地区降水丰富，年平均降水量在800毫米以上"""""""
北方地区,气候特征,"""""""最冷月（1月）平均气温：0℃以下最热月（7月）平均气温：20℃以上温度带：大部分地区属于中温带和暖温带年降水量：大部分地区为400~800毫米干湿地区：大部分地区属于半湿润地区降水季节分配：不均，主要集中在夏季气候特点：冬季寒冷干燥，夏季高温多雨"""""""
非洲,气候特征,"""""""气候炎热"""
东北地区,气候特征,"""东北三省气候冷湿。大部分地区冬季漫长严寒，夏季短促温暖。大兴安岭北部地区长冬无夏，只有南部的辽东半岛冬季较短。东北三省降水集中在夏季，冬季降雪较多"