热带雨林带,热带雨林气候
热带,热带雨林气候
亚马孙平原,热带雨林气候
全年多雨型,热带雨林气候
全年少雨型,极地气候、热带沙漠气候、温带大陆性
夏季多雨型,温带季风气候
温带,温带季风气候
东亚季风,温带季风气候
日本,温带季风气候
亚热带常绿硬叶林带,地中海气候
地中海,地中海气候
冬季多雨型,地中海气候
亚热带,地中海气候
中东,地中海气候
常年湿润型,温带海洋性气候
温带,温带海洋性气候
寒带,冰原气候
南亚季风,热带季风气候
热带季雨林带,热带季风气候
热带,热带季风气候
热带荒漠带,热带沙漠气候
热带,热带沙漠气候
中东,热带沙漠气候
热带草原带,热带草原气候
热带,热带草原气候
亚热带,亚热带季风气候
东亚季风,亚热带季风气候
日本,亚热带季风气候
温带草原带,温带大陆性气候
温带荒漠带,温带大陆性气候
温带,温带大陆性气候
中东,温带大陆性气候
亚寒带,亚寒带针叶林气候
亚寒带针叶林带,亚寒带针叶林气候
寒带,苔原气候
亚热带常绿阔叶林带,亚热带季风和季风性湿润气候
温带落叶阔叶林带,温带季风气候和温带海洋性气候
寒带苔原带,寒带苔原气候
寒带冰原带,寒带冰原气候
长江三角洲,亚热带季风气候，夏季高温多雨，雨热同期
松嫩平原,温带季风气候，雨热同期，但大陆性稍强，降水较少，温暖季节及生长期较短
西亚和北非,大部分属热带沙漠气候，全年降水一般不足200毫米
拉丁美洲,气候湿热，有世界上面积最大的热带雨林气候区，也有面积广阔的热带草原气候区
俄罗斯,北部有寒带气候，西南部及东部有高原山地气候，东部为温带季风气候
寒带,寒带气候
中国东部地区,季风气候
巴西,热带雨林气候和热带草原气候
澳大利亚,http://kb.cs.tsinghua.edu.cn/apihtml/getpng/495/CS090002T01000010901
北京,暖温带大陆性季风气候
亚热带,亚热带季风和湿润气候
南方地区,湿润的亚热带，热带季风气候
红土地,湿润的亚热带，热带季风气候
东南亚,热带雨林气候和热带季风气候
撒哈拉以南非洲,热带雨林气候、热带草原和热带沙漠气候
日本,温带季风气候和亚热带季风气候
欧洲西部,东西差异：西部为温带海洋性气候，东部为温带大陆性气候
欧洲西部,南北差异：北部是寒带气候，南部是地中海气候
欧洲西部,阿尔卑斯山脉：高原山地气候
北方地区,大部分地区属于温带季风气候
非洲,热带雨林气候、热带草原气候、热带沙漠气候、地中海气候、高原山地气候
非洲,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-312
非洲,以热带气候为主，热带草原气候面积广大。东非高原的赤道附近，由于海拔高，气温低，没有形成热带雨林气候。
台湾,亚热带、热带季风气候
巴西高原,以热带草原气候为主